year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,n_birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country,n_death_country,religion
1901,Chemistry,The Nobel Prize in Chemistry 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",1.ינו׳,160,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,Netherlands,Netherlands,Male,Berlin University,Berlin,Germany,1.3.1911,Berlin,Germany,Germany,
1902,Chemistry,The Nobel Prize in Chemistry 1902,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",1.ינו׳,161,Individual,Hermann Emil Fischer,1852-10-09,Euskirchen,Prussia (Germany),Germany,Male,Berlin University,Berlin,Germany,15.7.1919,Berlin,Germany,Germany,
1903,Chemistry,The Nobel Prize in Chemistry 1903,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",1.ינו׳,162,Individual,Svante August Arrhenius,1859-02-19,Vik,Sweden,Sweden,Male,Stockholm University,Stockholm,Sweden,2.10.1927,Stockholm,Sweden,Sweden,
1904,Chemistry,The Nobel Prize in Chemistry 1904,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",1.ינו׳,163,Individual,Sir William Ramsay,1852-10-02,Glasgow,Scotland,Scotland,Male,University College,London,United Kingdom,23.7.1916,High Wycombe,United Kingdom,United Kingdom,
1905,Chemistry,The Nobel Prize in Chemistry 1905,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",1.ינו׳,164,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,Prussia (Germany),Germany,Male,Munich University,Munich,Germany,20.8.1917,Starnberg,Germany,Germany,
1906,Chemistry,The Nobel Prize in Chemistry 1906,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",1.ינו׳,165,Individual,Henri Moissan,1852-09-28,Paris,France,France,Male,Sorbonne University,Paris,France,20.2.1907,Paris,France,France,
1907,Chemistry,The Nobel Prize in Chemistry 1907,"""for his biochemical researches and his discovery of cell-free fermentation""",1.ינו׳,166,Individual,Eduard Buchner,1860-05-20,Munich,Bavaria (Germany),Germany,Male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,13.8.1917,Focsani,Romania,Romania,
1908,Chemistry,The Nobel Prize in Chemistry 1908,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",1.ינו׳,167,Individual,Ernest Rutherford,1871-08-30,Nelson,New Zealand,New Zealand,Male,Victoria University,Manchester,United Kingdom,19.10.1937,Cambridge,United Kingdom,United Kingdom,
1909,Chemistry,The Nobel Prize in Chemistry 1909,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",1.ינו׳,168,Individual,Wilhelm Ostwald,1853-09-02,Riga,Russian Empire (Latvia),Latvia,Male,Leipzig University,Leipzig,Germany,4.4.1932,Leipzig,Germany,Germany,
1910,Chemistry,The Nobel Prize in Chemistry 1910,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",1.ינו׳,169,Individual,Otto Wallach,1847-03-27,Koenigsberg (Kaliningrad),Germany (Russia),Russia,Male,Goettingen University,Göttingen,Germany,26.2.1931,Göttingen,Germany,Germany,
1911,Chemistry,The Nobel Prize in Chemistry 1911,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",1.ינו׳,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Poland,Female,Sorbonne University,Paris,France,4.7.1934,Sallanches,France,France,
1912,Chemistry,The Nobel Prize in Chemistry 1912,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",1.פבר׳,172,Individual,Victor Grignard,1871-05-06,Cherbourg,France,France,Male,Nancy University,Nancy,France,13.12.1935,Lyon,France,France,
1912,Chemistry,The Nobel Prize in Chemistry 1912,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",1.פבר׳,173,Individual,Paul Sabatier,1854-11-05,Carcassonne,France,France,Male,Toulouse University,Toulouse,France,14.8.1941,Toulouse,France,France,
1913,Chemistry,The Nobel Prize in Chemistry 1913,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",1.ינו׳,174,Individual,Alfred Werner,1866-12-12,Mulhouse,France,France,Male,University of Zurich,Zurich,Switzerland,15.11.1919,Zurich,Switzerland,Switzerland,
1914,Chemistry,The Nobel Prize in Chemistry 1914,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",1.ינו׳,175,Individual,Theodore William Richards,1868-01-31,"Germantown, PA",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,2.4.1928,"Cambridge, MA",United States of America,United States of America,
1915,Chemistry,The Nobel Prize in Chemistry 1915,"""for his researches on plant pigments, especially chlorophyll""",1.ינו׳,176,Individual,Richard Martin Willstätter,1872-08-13,Karlsruhe,Germany,Germany,Male,Munich University,Munich,Germany,3.8.1942,Locarno,Switzerland,Switzerland,
1918,Chemistry,The Nobel Prize in Chemistry 1918,"""for the synthesis of ammonia from its elements""",1.ינו׳,177,Individual,Fritz Haber,1868-12-09,Breslau (Wroclaw),Prussia (Poland),Poland,Male,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,29.1.1934,Basel,Switzerland,Switzerland,
1920,Chemistry,The Nobel Prize in Chemistry 1920,"""in recognition of his work in thermochemistry""",1.ינו׳,178,Individual,Walther Hermann Nernst,1864-06-25,Briesen,Prussia (Germany),Germany,Male,Berlin University,Berlin,Germany,18.11.1941,Muskau,Germany,Germany,
1921,Chemistry,The Nobel Prize in Chemistry 1921,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",1.ינו׳,179,Individual,Frederick Soddy,1877-09-02,Eastbourne,United Kingdom,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,22.9.1956,Brighton,United Kingdom,United Kingdom,
1922,Chemistry,The Nobel Prize in Chemistry 1922,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule""",1.ינו׳,180,Individual,Francis William Aston,1877-09-01,Harborne,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,20.11.1945,Cambridge,United Kingdom,United Kingdom,
1923,Chemistry,The Nobel Prize in Chemistry 1923,"""for his invention of the method of micro-analysis of organic substances""",1.ינו׳,181,Individual,Fritz Pregl,1869-09-03,Laibach (Ljubljana),Austria-Hungary (Slovenia),Slovenia,Male,Graz University,Graz,Austria,13.12.1930,Graz,Austria,Austria,
1925,Chemistry,The Nobel Prize in Chemistry 1925,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry""",1.ינו׳,182,Individual,Richard Adolf Zsigmondy,1865-04-01,Vienna,Austrian Empire (Austria),Austria,Male,Goettingen University,Göttingen,Germany,24.9.1929,Göttingen,Germany,Germany,
1926,Chemistry,The Nobel Prize in Chemistry 1926,"""for his work on disperse systems""",1.ינו׳,183,Individual,The (Theodor) Svedberg,1884-08-30,Fleräng,Sweden,Sweden,Male,Uppsala University,Uppsala,Sweden,25.2.1971,Örebro,Sweden,Sweden,
1927,Chemistry,The Nobel Prize in Chemistry 1927,"""for his investigations of the constitution of the bile acids and related substances""",1.ינו׳,184,Individual,Heinrich Otto Wieland,1877-06-04,Pforzheim,Germany,Germany,Male,Munich University,Munich,Germany,5.8.1957,Munich,West Germany (Germany),Germany,
1928,Chemistry,The Nobel Prize in Chemistry 1928,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",1.ינו׳,185,Individual,Adolf Otto Reinhold Windaus,1876-12-25,Berlin,Germany,Germany,Male,Goettingen University,Göttingen,Germany,9.6.1959,Göttingen,West Germany (Germany),Germany,
1929,Chemistry,The Nobel Prize in Chemistry 1929,"""for their investigations on the fermentation of sugar and fermentative enzymes""",1.פבר׳,187,Individual,Hans Karl August Simon von Euler-Chelpin,1873-02-15,Augsburg,Germany,Germany,Male,Stockholm University,Stockholm,Sweden,6.11.1964,Stockholm,Sweden,Sweden,
1929,Chemistry,The Nobel Prize in Chemistry 1929,"""for their investigations on the fermentation of sugar and fermentative enzymes""",1.פבר׳,186,Individual,Arthur Harden,1865-10-12,Manchester,United Kingdom,United Kingdom,Male,London University,London,United Kingdom,17.6.1940,Bourne,United Kingdom,United Kingdom,
1930,Chemistry,The Nobel Prize in Chemistry 1930,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",1.ינו׳,188,Individual,Hans Fischer,1881-07-27,Hoechst,Germany,Germany,Male,Technische Hochschule (Institute of Technology),Munich,Germany,31.3.1945,Munich,Germany,Germany,
1931,Chemistry,The Nobel Prize in Chemistry 1931,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",1.פבר׳,190,Individual,Friedrich Bergius,1884-10-11,"Goldschmieden, near Breslau",Germany (Poland),Poland,Male,University of Heidelberg,Heidelberg,Germany,30.3.1949,Buenos Aires,Argentina,Argentina,
1931,Chemistry,The Nobel Prize in Chemistry 1931,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",1.פבר׳,189,Individual,Carl Bosch,1874-08-27,Cologne,Germany,Germany,Male,University of Heidelberg,Heidelberg,Germany,26.4.1940,Heidelberg,Germany,Germany,
1932,Chemistry,The Nobel Prize in Chemistry 1932,"""for his discoveries and investigations in surface chemistry""",1.ינו׳,191,Individual,Irving Langmuir,1881-01-31,"Brooklyn, NY",United States of America,United States of America,Male,General Electric Company,"Schenectady, NY",United States of America,16.8.1957,"Falmouth, MA",United States of America,United States of America,
1934,Chemistry,The Nobel Prize in Chemistry 1934,"""for his discovery of heavy hydrogen""",1.ינו׳,192,Individual,Harold Clayton Urey,1893-04-29,"Walkerton, IN",United States of America,United States of America,Male,Columbia University,"New York, NY",United States of America,5.1.1981,"La Jolla, CA",United States of America,United States of America,
1935,Chemistry,The Nobel Prize in Chemistry 1935,"""in recognition of their synthesis of new radioactive elements""",1.פבר׳,193,Individual,Frédéric Joliot,19.3.1900,Paris,France,France,Male,Institut du Radium,Paris,France,14.8.1958,Paris,France,France,
1935,Chemistry,The Nobel Prize in Chemistry 1935,"""in recognition of their synthesis of new radioactive elements""",1.פבר׳,194,Individual,Irène Joliot-Curie,1897-09-12,Paris,France,France,Female,Institut du Radium,Paris,France,17.3.1956,Paris,France,France,
1936,Chemistry,The Nobel Prize in Chemistry 1936,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",1.ינו׳,195,Individual,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Maastricht,Netherlands,Netherlands,Male,Berlin University,Berlin,Germany,2.11.1966,"Ithaca, NY",United States of America,United States of America,
1937,Chemistry,The Nobel Prize in Chemistry 1937,"""for his investigations on carotenoids, flavins and vitamins A and B2""",1.פבר׳,197,Individual,Paul Karrer,1889-04-21,Moscow,Russia,Russia,Male,University of Zurich,Zurich,Switzerland,18.6.1971,Zurich,Switzerland,Switzerland,
1937,Chemistry,The Nobel Prize in Chemistry 1937,"""for his investigations on carbohydrates and vitamin C""",1.פבר׳,196,Individual,Walter Norman Haworth,1883-03-19,Chorley,United Kingdom,United Kingdom,Male,Birmingham University,Birmingham,United Kingdom,19.3.1950,Birmingham,United Kingdom,United Kingdom,
1938,Chemistry,The Nobel Prize in Chemistry 1938,"""for his work on carotenoids and vitamins""",1.ינו׳,198,Individual,Richard Kuhn,3.12.1900,Vienna,Austria-Hungary (Austria),Austria,Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,31.7.1967,Heidelberg,West Germany (Germany),Germany,
1939,Chemistry,The Nobel Prize in Chemistry 1939,"""for his work on sex hormones""",1.פבר׳,199,Individual,Adolf Friedrich Johann Butenandt,24.3.1903,Bremerhaven-Lehe,Germany,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,18.1.1995,Munich,Germany,Germany,
1939,Chemistry,The Nobel Prize in Chemistry 1939,"""for his work on polymethylenes and higher terpenes""",1.פבר׳,200,Individual,Leopold Ruzicka,1887-09-13,Vukovar,Austria-Hungary (Croatia),Croatia,Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,26.9.1976,Zurich,Switzerland,Switzerland,
1943,Chemistry,The Nobel Prize in Chemistry 1943,"""for his work on the use of isotopes as tracers in the study of chemical processes""",1.ינו׳,201,Individual,George de Hevesy,1885-08-01,Budapest,Austria-Hungary (Hungary),Hungary,Male,Stockholm University,Stockholm,Sweden,5.7.1966,Freiburg im Breisgau,West Germany (Germany),Germany,
1944,Chemistry,The Nobel Prize in Chemistry 1944,"""for his discovery of the fission of heavy nuclei""",1.ינו׳,202,Individual,Otto Hahn,1879-03-08,Frankfurt-on-the-Main,Germany,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,28.7.1968,Göttingen,West Germany (Germany),Germany,
1945,Chemistry,The Nobel Prize in Chemistry 1945,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method""",1.ינו׳,203,Individual,Artturi Ilmari Virtanen,1895-01-15,Helsinki,Russian Empire (Finland),Finland,Male,University of Helsinki,Helsinki,Finland,11.11.1973,Helsinki,Finland,Finland,
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for their preparation of enzymes and virus proteins in a pure form""",1.אפר׳,206,Individual,Wendell Meredith Stanley,16.8.1904,"Ridgeville, IN",United States of America,United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,15.6.1971,Salamanca,Spain,Spain,
