Religion,Adherents (in millions),Percentage
Christianity,2382,31.11%
Islam,1907,24.90%
Secular[a]/Nonreligious[b]/Agnostic/Atheist,1193,15.58%
Hinduism,1161,15.16%
Buddhism,506,5.06%
Chinese traditional religion[c],394,5%
Ethnic religions excluding some in separate categories,300,3%
African traditional religions,100,1.20%
Sikhism,26,0.30%
Spiritism,15,0.19%
Judaism,14.7,0.18%
Baháʼí,5,0.07%
Jainism,4.2,0.05%
Shinto,4,0.05%
Cao Dai,4,0.05%
Zoroastrianism,2.6,0.03%
Tenrikyo,2,0.02%
Animism,1.9,0.02%
Neo-Paganism,1,0.01%
Unitarian Universalism,0.8,0.01%
Rastafari,0.6,0.01%
